stage,lesson_num,lesson_id,title,type,new_phonogram,new_rule,word_list,reader,image_needed
1,44,pa-12-blends,Blending with Consonant Blends,phonemic-awareness,,,,"",
1,45,pa-13-two-syllable,Blending Two-Syllable Words,phonemic-awareness,,,,"",
1,46,handwriting-1,Handwriting: Clockface Letters,handwriting,,,,"",
1,47,handwriting-2,Handwriting: Straight-start Letters,handwriting,,,,"",
1,48,assessment-1,Stage 1 Mastery Check,assessment,,,,"",
2,1,short-a,Short Vowel a /ă/,vowel-concept,,,"cat hat map sad bag","",
2,2,short-i,Short Vowel i /ĭ/,vowel-concept,,,"sit pin dig lip win","",
2,3,short-o,Short Vowel o /ŏ/,vowel-concept,,,"dog pot log top mom","",
2,4,short-u,Short Vowel u /ŭ/,vowel-concept,,,"cup sun run hug mud","",
2,5,short-e,Short Vowel e /ĕ/,vowel-concept,,,"bed pen net leg red","",
2,6,vc-words,VC Words: at in on up it,word-building,,,"at in on up it","",
2,7,cvc-continuant,CVC with Continuant Consonants,word-building,,,"man fan run sun sit","",
2,8,cvc-stop,CVC with Stop Consonants,word-building,,,"cat dog pot big tap cup","",
2,9,cvc-all,All CVC Combinations,word-building,,,"jam web fox zip quit","",
2,10,pg-sh,Phonogram sh,phonogram-intro,sh,,ship fish shop shut,"",
2,11,pg-th,Phonogram th,phonogram-intro,th,,this that thin with,"",
2,12,pg-ck,Phonogram ck,phonogram-intro,ck,26,back duck stick clock quick,"",
2,13,spell-sh-th-ck,Spelling Analysis: sh th ck,spelling-analysis,,,"ship fish this that back duck","",
2,14,pg-ee,Phonogram ee,phonogram-intro,ee,,see green feet need three,"",
2,15,ccvc-blends,CCVC: Beginning Blends,word-building,,,"stop frog glad swim crab","",
2,16,cvcc-blends,CVCC: Ending Blends,word-building,,,"hand milk fast jump nest","",
2,17,ccvcc-blends,CCVCC: Both Blends,word-building,,,"plant stamp blend crust stand","",
2,18,pg-ng,Phonogram ng,phonogram-intro,ng,,sing ring long song hung,"",
2,19,pg-ar,Phonogram ar,phonogram-intro,ar,,car far jar star hard card,"",
2,20,pg-or,Phonogram or,phonogram-intro,or,,for corn horn born sort,"",
2,21,pg-er,Phonogram er,phonogram-intro,er,,her sister under after never,"",
2,22,review-6,Review: sh th ck ee ng ar or er,review,,,"","",
2,23,assessment-2,Mid-Stage 2 Assessment,assessment,,,,"",
2,24,pg-oi,Phonogram oi,phonogram-intro,oi,3,coin join oil boil soil,"",
2,25,pg-oy,Phonogram oy,phonogram-intro,oy,"3,9",boy toy joy soy enjoy,"",
2,26,rule-3,Rule 3: No I U V J at End,rule-intro,,3,have blue play boy,"",
2,27,pg-ai,Phonogram ai,phonogram-intro,ai,"3,9",rain pain main tail sail,"",
2,28,pg-ay,Phonogram ay,phonogram-intro,ay,9,day may pay say way stay play,"",
2,29,rule-9,Rule 9: AY at End of Base Word,rule-intro,,9,day play stay rain paint,"",
2,30,spell-oi-oy-ai-ay,Spelling Analysis: oi oy ai ay,spelling-analysis,,,"coin boy rain day play join","",
2,31,pg-ch,Phonogram ch,phonogram-intro,ch,,chin chip chat chop school chef,"",
2,32,pg-wh,Phonogram wh,phonogram-intro,wh,,when which whip whisk,"",
2,33,pg-ea,Phonogram ea,phonogram-intro,ea,,eat read sea tea bread head,"",
2,34,spell-ch-wh-ea,Spelling Analysis: ch wh ea,spelling-analysis,,,"chin when eat read bread","",
2,35,pg-ow,Phonogram ow,phonogram-intro,ow,,cow now how down town snow grow low,"",
2,36,pg-ou,Phonogram ou,phonogram-intro,ou,,out our round found sound you soup,"",
2,37,rule-4,Rule 4: A E O U Long at End of Syllable,rule-intro,,4,he go baby unit,"",
2,38,open-syllables,Open Syllable Words,word-building,,4,"he she we go no so by my","",
2,39,pg-oo,Phonogram oo,phonogram-intro,oo,,book look cook food moon soon floor door,"",
2,40,pg-ed,Phonogram ed,phonogram-intro,ed,20,wanted played fished ended,"",
2,41,rule-20,Rule 20: Three Sounds of -ED,rule-intro,,20,wanted played fished,"",
2,42,pg-igh,Phonogram igh,phonogram-intro,igh,28,light high night right bright,"",
2,43,pg-aw,Phonogram aw,phonogram-intro,aw,3,saw draw claw paw law,"",
2,44,pg-au,Phonogram au,phonogram-intro,au,"3,28",cause author fault launch,"",
2,45,pg-ir,Phonogram ir,phonogram-intro,ir,,girl bird first shirt dirt,"",
2,46,pg-ur,Phonogram ur,phonogram-intro,ur,,hurt turn burn church purse,"",
2,47,review-7,Review: ow ou oo ed igh aw au ir ur,review,,,"","",
2,48,pg-oa,Phonogram oa,phonogram-intro,oa,,boat road coat goat soak,"",
2,49,pg-ear,Phonogram ear,phonogram-intro,ear,,learn earth early heard,"",
2,50,hf-words-1,High-Frequency Words Set 1,hf-word,,,"the a of to do was is has","",
2,51,hf-words-2,High-Frequency Words Set 2,hf-word,,,"you that it he for on are as","",
2,52,hf-words-3,High-Frequency Words Set 3,hf-word,,,"with his they I at be this have","",
2,53,rule-30,Rule 30: Double F L S (Floss Rule),rule-intro,,30,off bell miss buzz egg,"",
2,54,reader-1,Fred the Frog,reader,,,,"readers/stage-2/001-fred-the-frog.md",animals/frog.png
2,55,assessment-3,Stage 2 Mastery Check,assessment,,,,"",
3,1,long-vowels,Long Vowel Sounds /ā/ /ē/ /ī/ /ō/ /ū/,vowel-concept,,,"make these time hope cube","",
3,2,silent-e-1,Silent E Reason 1: Vowel Says Long Sound,rule-intro,,"12.1",make time hope cube these,"",
3,3,silent-e-2,Silent E Reason 2: No V or U at End,rule-intro,,"12.2",have give blue true love,"",
3,4,silent-e-3,Silent E Reason 3: C→/s/ G→/j/,rule-intro,,"12.3",dance since change large,"",
3,5,silent-e-4,Silent E Reason 4: Every Syllable Needs a Vowel,rule-intro,,"12.4",little table candle puzzle,"",
3,6,silent-e-review-1,Silent E Review: Reasons 12.1-12.4,review,,"12.1-12.4",mixed,"",
3,7,silent-e-5,Silent E Reason 5: Keep S from Looking Plural,rule-intro,,"12.5",house goose moose please,"",
3,8,silent-e-6,Silent E Reason 6: Make Word Look Bigger,rule-intro,,"12.6",pie rye awe owe,"",
3,9,silent-e-7,Silent E Reason 7: TH Voiced,rule-intro,,"12.7",bathe clothe breathe,"",
3,10,silent-e-8,Silent E Reason 8: Clarify Meaning,rule-intro,,"12.8","bye ore awe","",
3,11,silent-e-9,Silent E Reason 9: Unseen Reason,rule-intro,,"12.9",come some done none,"",
3,12,silent-e-mastery,Silent E: Name That Reason,practice,,"12.all",mixed,"",
3,13,rule-1,Rule 1: C Softens to /s/ Before E I Y,rule-intro,,1,cent city cycle,"",
3,14,rule-2,Rule 2: G May Soften to /j/ Before E I Y,rule-intro,,2,gem giant gym,"",
3,15,spell-ce-ci-ge,Spelling Analysis: ce ci ge gi,spelling-analysis,,"1,2",cent city gem giant dance,"",
3,16,pg-dge,Phonogram dge,phonogram-intro,dge,25,bridge edge judge badge,"",
3,17,pg-tch,Phonogram tch,phonogram-intro,tch,27,catch watch match pitch,"",
3,18,rule-25-27,Review: DGE after short vowel / TCH after short vowel,review,,"25,27",bridge edge catch watch,"",
3,19,pg-kn,Phonogram kn,phonogram-intro,kn,,know knee knife knock,"",
3,20,pg-gn,Phonogram gn,phonogram-intro,gn,,sign gnat gnaw design,"",
3,21,pg-wr,Phonogram wr,phonogram-intro,wr,,write wrong wrist wrap,"",
3,22,silent-letter-review,Review: kn gn wr,review,,,"know sign write knee wrap","",
3,23,assessment-4,Mid-Stage 3 Assessment,assessment,,,,"",
3,24,pg-eigh,Phonogram eigh,phonogram-intro,eigh,28,eight neighbor weigh,"",
3,25,pg-ei,Phonogram ei,phonogram-intro,ei,,ceiling vein feisty,"",
3,26,pg-ey,Phonogram ey,phonogram-intro,ey,,they key money,"",
3,27,pg-ph,Phonogram ph,phonogram-intro,ph,,phone graph photo phonics,"",
3,28,pg-gh,Phonogram gh,phonogram-intro,gh,,ghost ghastly,"",
3,29,pg-ough,Phonogram ough,phonogram-intro,ough,28,though through cough rough bought,"",
3,30,pg-augh,Phonogram augh,phonogram-intro,augh,28,caught taught daughter laugh,"",
3,31,rule-28,Rule 28: GH Phonograms,rule-intro,,28,"light eight though caught","",
3,32,pg-ew,Phonogram ew,phonogram-intro,ew,,few grew chew,"",
3,33,pg-ui,Phonogram ui,phonogram-intro,ui,,fruit suit juice,"",
3,34,pg-eu,Phonogram eu,phonogram-intro,eu,,neutral feud,"",
3,35,rule-5,Rule 5: I and Y at End of Syllable,rule-intro,,5,item bicycle by,"",
3,36,rule-6,Rule 6: Y Says /ī/ at End of One-Syllable Word,rule-intro,,6,by my cry fly why,"",
3,37,rule-7,Rule 7: I and Y May Say /ē/,rule-intro,,7,baby funny radio,"",
3,38,rule-8,Rule 8: I O Before Two Consonants,rule-intro,,8,find kind old most,"",
3,39,rule-10,Rule 10: A Says /ä/,rule-intro,,10,spa water ball mama,"",
3,40,pg-wor,Phonogram wor,phonogram-intro,wor,,work world word worth,"",
3,41,pg-ie,Phonogram ie,phonogram-intro,ie,,field pie chief,"",
3,42,syllables-1,Syllable Division: Compound Words,syllable-division,,,"sunset rainbow into","",
3,43,syllables-2,Syllable Division: VCCV,syllable-division,,,"rabbit basket picnic","",
3,44,syllables-3,Syllable Division: VCV,syllable-division,,,"baby tiger open","",
3,45,syllables-4,Syllable Division: Consonant+LE,syllable-division,,,"table puzzle candle","",
3,46,rule-31,Rule 31: Schwa Introduction,rule-intro,,31,about happen button,"",
3,47,reader-2,Gwen Gives a Gift,reader,,,,"readers/stage-3/001-gwen-gives-gift.md",animals/goose.png
3,48,reader-3,Cole and His Bike,reader,,,,"readers/stage-3/002-cole-and-his-bike.md",
3,49,spell-mixed-3,Mixed Spelling Analysis: Stage 3,spelling-analysis,,,"","",
3,50,review-8,Review: All Stage 3 Phonograms,review,,,"","",
3,51,rule-review-3,All Stage 3 Rules Review,review,,,"","",
3,52,hf-words-4,High-Frequency Words Set 4,hf-word,,,"from or one had by words but not","",
3,53,hf-words-5,High-Frequency Words Set 5,hf-word,,,"what all were we when your can said","",
3,54,reader-4,The Sail Box,reader,,,,"readers/stage-3/003-the-sail-box.md",animals/snail.png
3,55,assessment-5,Stage 3 Mastery Check,assessment,,,,"",
4,1,schwa-1,Schwa: The Lazy Vowel Sound,rule-intro,,31.1,about away around alone,"",
4,2,schwa-2,Say-to-Spell: Unlocking Schwa Words,say-to-spell,,31.1,about happen button animal,"",
4,3,schwa-3,Schwa in Multi-Syllable Words,schwa-practice,,31.1,banana chocolate different memory,"",
4,4,schwa-4,Rule 31.2: O→/ŭ/ Next to W TH M N V,rule-intro,,31.2,love son month,"",
4,5,schwa-5,Rule 31.3: AR/OR→/er/ Unstressed,rule-intro,,31.3,dollar color,"",
4,6,schwa-mastery,Schwa Mastery: Mixed Practice,schwa-practice,,"31.all",mixed,"",
4,7,rule-13,Rule 13: Drop Silent E for Vowel Suffix,rule-intro,,13,"make→making hope→hoping","",
4,8,rule-13-practice,Drop E Practice,rule-practice,,13,"drive→driving use→using write→writing","",
4,9,rule-14,Rule 14: Double Consonant for Vowel Suffix,rule-intro,,14,"run→running hop→hopping","",
4,10,rule-14-practice,Double Consonant Practice,rule-practice,,14,"swim→swimming sit→sitting","",
4,11,rule-13-14-review,Drop E and Double Consonant Review,review,,"13,14","making hoping running sitting","",
4,12,assessment-6,Mid-Stage 4 Assessment,assessment,,,,"",
4,13,rule-15,Rule 15: Y Changes to I,rule-intro,,15,"cry→cries happy→happiness","",
4,14,rule-15-practice,Y→I Practice,rule-practice,,15,"beauty→beautiful easy→easily","",
4,15,rule-16,Rule 16: Two I's Cannot Be Adjacent,rule-intro,,16,crying studying,"",
4,16,suffixing-review,All Suffixing Rules Review,review,,"13-16","making running crying happiest","",
4,17,pg-ti,Phonogram ti,phonogram-intro,ti,17,nation action station,"",
4,18,pg-ci,Phonogram ci,phonogram-intro,ci,17,special facial social,"",
4,19,pg-si,Phonogram si,phonogram-intro,si,17,session mission vision,"",
4,20,rule-17,Rule 17: Latin /sh/ TI CI SI,rule-intro,,17,nation special session,"",
4,21,rule-18,Rule 18: SH Placement,rule-intro,,18,ship fish sunshine friendship,"",
4,22,latin-sh-mastery,Latin /sh/ Mastery,rule-practice,,"17,18",nation special session ship fish,"",
4,23,prefix-un-re,Prefixes un- and re-,morphology,,,"unhappy retell unsafe rewrite","",
4,24,prefix-in-dis,Prefixes in- and dis-,morphology,,,"inactive disconnect","",
4,25,prefix-pre-pro,Prefixes pre- and pro-,morphology,,,"preview progress","",
4,26,prefix-sub-inter,Prefixes sub- and inter-,morphology,,,"submarine interact","",
4,27,suffix-er-or,Suffixes -er and -or,morphology,,,"teacher actor","",
4,28,suffix-tion-sion,Suffixes -tion and -sion,morphology,,,"action confusion","",
4,29,suffix-able-ible,Suffixes -able and -ible,morphology,,,"capable visible","",
4,30,suffix-ment-ness,Suffixes -ment and -ness,morphology,,,"enjoyment happiness","",
4,31,suffix-ly-ful,Suffixes -ly and -ful,morphology,,,"quickly helpful","",
4,32,suffix-less-ous,Suffixes -less and -ous,morphology,,,"fearless dangerous","",
4,33,rule-23,Rule 23: AL- Prefix One L,rule-intro,,23,also always although,"",
4,34,rule-24,Rule 24: -FUL Suffix One L,rule-intro,,24,helpful hopeful thankful,"",
4,35,rule-19,Rule 19: Past Tense -ED,rule-intro,,19,played wanted,"",
4,36,rule-21,Rule 21: Plural -S -ES,rule-intro,,21,"cats dishes boxes","",
4,37,rule-22,Rule 22: 3rd Person -S -ES,rule-intro,,22,"runs catches","",
4,38,rule-29,Rule 29: Z Not S at Beginning,rule-intro,,29,zip zoo zebra,"",
4,39,irregular-verbs,Irregular Verbs,practice,,"19-20","have→had go→went is→was","",
4,40,irregular-plurals,Irregular Plurals,practice,,"21","child→children mouse→mice","",
4,41,reader-5,Firefly: Nightlight with Wings,reader,,,,"readers/stage-4/001-firefly.md",animals/firefly.png
4,42,reader-6,Trains: A Blast of Fast,reader,,,,"readers/stage-4/002-trains.md",
4,43,morph-review-1,Morpheme Review: Prefixes,morphology,,,"unhappy retell inactive disconnect preview","",
4,44,morph-review-2,Morpheme Review: Suffixes,morphology,,,"teacher action capable enjoyment quickly","",
4,45,spell-mixed-4,Mixed Spelling Analysis: Stage 4,spelling-analysis,,,"","",
4,46,review-9,Review: All Stage 4 Concepts,review,,,"","",
4,47,assessment-7,Stage 4 Mastery Check,assessment,,,,"",
5,1,root-dict,Root: dict (say speak),morphology,,,"dictate predict dictionary contradict","",
5,2,root-duct,Root: duct (lead),morphology,,,"conduct introduce product aqueduct","",
5,3,root-spect,Root: spect (see look),morphology,,,"inspect respect spectator suspect","",
5,4,root-port,Root: port (carry),morphology,,,"transport import export report support","",
5,5,root-form,Root: form (shape),morphology,,,"reform uniform transform conform","",
5,6,root-struct,Root: struct (build),morphology,,,"construct structure instruct destruct","",
5,7,root-rupt,Root: rupt (break),morphology,,,"erupt interrupt disrupt bankrupt","",
5,8,root-ject,Root: ject (throw),morphology,,,"eject reject project inject subject","",
5,9,root-tract,Root: tract (pull),morphology,,,"attract extract tractor subtract","",
5,10,root-scrib,Root: scrib/script (write),morphology,,,"describe manuscript prescription","",
5,11,root-mit-miss,Root: mit/miss (send),morphology,,,"transmit mission admit dismiss","",
5,12,root-vid-vis,Root: vid/vis (see),morphology,,,"video visible visit supervise","",
5,13,latin-review-1,Latin Roots Review Set 1,review,,,"","",
5,14,root-graph,Root: graph (write),morphology,,,"photograph autograph biography geography","",
5,15,root-phon,Root: phon (sound),morphology,,,"telephone phonics symphony microphone","",
5,16,root-bio,Root: bio (life),morphology,,,"biology biography antibiotic amphibian","",
5,17,root-geo,Root: geo (earth),morphology,,,"geography geology geometry geode","",
5,18,root-therm,Root: therm (heat),morphology,,,"thermometer thermal thermostat","",
5,19,root-meter,Root: meter/metr (measure),morphology,,,"thermometer geometry metric barometer","",
5,20,root-scope,Root: scope (see),morphology,,,"telescope microscope periscope stethoscope","",
5,21,root-auto-tele,Roots: auto (self) + tele (far),morphology,,,"autograph automatic telephone television","",
5,22,root-micro-chron,Roots: micro (small) + chron (time),morphology,,,"microscope microwave chronological","",
5,23,root-photo-logy,Roots: photo (light) + logy (study),morphology,,,"photograph photosynthesis biology","",
5,24,greek-review-1,Greek Roots Review,morphology,,,"","",
5,25,all-roots-review,All Roots Review,morphology,,,"","",
5,26,vocab-1,Vocabulary: Tier 2 Words in Context,vocabulary,,,"","",
5,27,vocab-2,Vocabulary: Synonyms and Antonyms,vocabulary,,,"","",
5,28,vocab-3,Vocabulary: Word Relationships,vocabulary,,,"","",
5,29,fluency-1,Fluency: Repeated Reading,fluency,,,"","",
5,30,fluency-2,Fluency: Phrasing and Expression,fluency,,,"","",
5,31,fluency-3,Fluency: Reading Rate,fluency,,,"","",
5,32,composition-1,Composition: Sentence Building,composition,,,"","",
5,33,composition-2,Composition: Paragraph Writing,composition,,,"","",
5,34,composition-3,Composition: Apply Spelling Rules in Writing,composition,,,"","",
5,35,grammar-1,Grammar: Parts of Speech Review,grammar,,,"","",
5,36,grammar-2,Grammar: Sentence Types,grammar,,,"","",
5,37,grammar-3,Grammar: Punctuation,grammar,,,"","",
5,38,reader-7,Ostriches,reader,,,,"readers/stage-5/001-ostriches.md",animals/ostrich.png
5,39,assessment-8,Stage 5 Mastery Check,assessment,,,,"",
